
Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python_yn,R_yn,spark,aws,excel
Data Analyst (Contract),CA$62K-CA$94K (Glassdoor Est.),3.6,"Tundra
3.6",Edmonton,"Toronto, Canada",201 to 500 employees,2004,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,0,0,62,94,78.0,"Tundra
",Edmonton,0,16,0,0,0,0,1
Product Data Analyst,CA$62K-CA$94K (Glassdoor Est.),4.7,"Thinkific
4.7",Vancouver,"Vancouver, Canada",51 to 200 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,0,62,94,78.0,"Thinkific
",Vancouver,0,8,1,0,0,0,1
Data Scientist,CA$62K-CA$94K (Glassdoor Est.),3.5,"Veeva Systems
3.5",Toronto,"Pleasanton, CA",1001 to 5000 employees,2007,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $2 billion (CAD),-1,0,0,62,94,78.0,"Veeva Systems
",Toronto,0,13,1,0,0,1,1
Backend Engineer Data Team - 100% Remote - Canada,CA$62K-CA$94K (Glassdoor Est.),4.7,"Sonatype
4.7",Remote,"Fulton, MD",201 to 500 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (CAD),-1,0,0,62,94,78.0,"Sonatype
",Remote,0,12,0,0,1,1,0
Data Scientist,CA$62K-CA$94K (Glassdoor Est.),3.1,"Joe Fresh
3.1",Brampton,"Toronto, Canada",201 to 500 employees,2006,Subsidiary or Business Segment,"Department, Clothing, & Shoe Shops",Retail,Unknown / Non-Applicable,-1,0,0,62,94,78.0,"Joe Fresh
",Brampton,0,14,1,0,1,1,0
Data Scientist (Contract),CA$62K-CA$94K (Glassdoor Est.),3.6,"Tundra
3.6",Toronto,"Toronto, Canada",201 to 500 employees,2004,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,0,0,62,94,78.0,"Tundra
",Toronto,0,16,1,0,1,0,0
Data Scientist,CA$62K-CA$94K (Glassdoor Est.),3.6,"Clearbanc
3.6",Toronto,"Toronto, Canada",51 to 200 employees,2015,Company - Private,Banks & Building Societies,Finance,Unknown / Non-Applicable,-1,0,0,62,94,78.0,"Clearbanc
",Toronto,0,5,1,0,0,0,0
Machine Learning Scientist,CA$62K-CA$94K (Glassdoor Est.),3.9,"National Research Council Canada
3.9",St. John's,"Ottawa, Canada",1001 to 5000 employees,-1,Government,Government Agencies,Government,$100 to $500 million (CAD),-1,0,0,62,94,78.0,"National Research Council Canada
",St. John's,0,-1,1,0,0,0,1
Data Scientist/Data Analytics – Class of ‘20,CA$62K-CA$94K (Glassdoor Est.),-1.0,CitiIQ,Uxbridge,-1,-1,-1,-1,-1,-1,-1,-1,0,0,62,94,78.0,CitiIQ,Uxbridge,0,-1,0,0,0,1,1
Senior Data Scientist,CA$62K-CA$94K (Glassdoor Est.),3.6,"Hopper
3.6",Montreal,"Montreal, Canada",501 to 1000 employees,2007,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,-1,0,0,62,94,78.0,"Hopper
",Montreal,0,13,0,0,0,0,0
Data Engineer Trainee,CA$62K-CA$94K (Glassdoor Est.),4.2,"Jarvis Consulting Group
4.2",Toronto,"Toronto, Canada",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,62,94,78.0,"Jarvis Consulting Group
",Toronto,0,-1,1,0,1,0,0
Applied research scientist - machine Learning,CA$62K-CA$94K (Glassdoor Est.),4.5,"Mila
4.5",Montreal,"Montreal, Canada",51 to 200 employees,-1,College / University,-1,-1,Unknown / Non-Applicable,-1,0,0,62,94,78.0,"Mila
",Montreal,0,-1,0,0,0,0,1
Data scientist / Scientifique de données,CA$62K-CA$94K (Glassdoor Est.),4.9,"Unity Technologies
4.9",Montreal,"San Francisco, CA",1001 to 5000 employees,2005,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Epic Games, Electronic Arts, Zynga",0,0,62,94,78.0,"Unity Technologies
",Montreal,0,15,0,0,0,0,0
